business,latitude,longitude,region
JENNY YANG SUPREME LAUNDROMAT INC,40.72464285,-73.98153896,Lower Manhattan
"LEE, ROBERT SUM & LEE, WAI HING",40.72884693,-73.97666698,Lower Manhattan
SUN-PARK LAUNDROMAT INC.,40.71500199,-73.99962845,Lower Manhattan
NY GARMENT CARE CORP,40.73470211,-73.97996294,Lower Manhattan
ARNOLD K. P. CORP.,40.74256478,-73.99674851,Lower Manhattan
"NEW EVERGREEN LAUNDRY NY, INC.",40.73102993,-73.98176811,Lower Manhattan
JILLYBABY LAUNDROMAT INC.,40.7301897,-73.97977668,Lower Manhattan
"G & M LAUNDERAMA, INC.",40.73124167,-73.98448499,Lower Manhattan
SINCERE LAUNDRY INC,40.7385894,-73.98466009,Lower Manhattan
QUICK COIN AVENUE B LAUNDROMAT INC.,40.72297971,-73.98275522,Lower Manhattan
"QUICK COIN ONE LAUNDRY, INC.",40.72922423,-73.98411744,Lower Manhattan
"66 CARMINE DRY CLEANING & LAUNDROMAT, INC.",40.72975224,-74.00429359,Lower Manhattan
CRYSTAL CLEANERS NEW LAUNDROMAT INC,40.73553672,-73.98114624,Lower Manhattan
363 1ST AVENUE CLEANERS LLC,40.73570931,-73.97924818,Lower Manhattan
BRIGHT LAUNDRY LAND CORP.,40.72118252,-73.98757182,Lower Manhattan
LAUNDRY LAND 1ST AVE LLC,40.73427673,-73.98029864,Lower Manhattan
"THE LAUNDRY ROOM OF ESSEX, INC",40.71975521,-73.98731596,Lower Manhattan
YI RAE LLC,40.7372574,-73.9795039,Lower Manhattan
EMILY'S LAUNDROMAT NY INC.,40.7128277,-73.99002263,Lower Manhattan
NEW MODERN FRENCH CLEANERS INC.,40.74192318,-73.97792906,Lower Manhattan
"DEKHKANOV, NISON",40.73576706,-73.97988324,Lower Manhattan
"EPSM ENTERPRISES, INC.",40.74015219,-73.99933601,Lower Manhattan
"MERMAID LAUNDROMAT, INC.",40.73515673,-74.00132066,Lower Manhattan
JIE LI LAUNDROMAT INC.,40.71825174,-73.99685431,Lower Manhattan
PTT NY INC,40.74734069,-74.0007218,Lower Manhattan
"HUDSON KIM CLEANERS, INC.",40.73155818,-74.0066318,Lower Manhattan
LOAD LAUNDROMAT LLC,40.72933847,-73.97782499,Lower Manhattan
THOMPSON STREET LAUNDROMAT INC.,40.72780903,-74.00020565,Lower Manhattan
MR. LIN LAUNDROMAT INC,40.71321949,-73.98377135,Lower Manhattan
81 FAMILY LAUNDROMAT CORP.,40.71709874,-73.9925183,Lower Manhattan
"W.R. CLEANING, INC.",40.72568124,-73.98824204,Lower Manhattan
TWO FUTURE DREAMS INC,40.73282911,-74.00427214,Lower Manhattan
ELITE ZIP BUSINESS INC.,40.72033405,-73.98476891,Lower Manhattan
ESK LAUNDROMAT INC.,40.71270139,-73.98940222,Lower Manhattan
MADISON SUPREME LAUNDROMAT YANG INC.,40.71213914,-73.99610793,Lower Manhattan
MIN 81 LAUNDROMAT INC,40.71527077,-73.99308845,Lower Manhattan
JAMES CLOTHING SERVICES LLC,40.74419795,-73.99989534,Lower Manhattan
"NEW ABSOLUTE LAUNDRY, INC.",40.74335115,-73.98193435,Lower Manhattan
DAILY BUBBLE LAUNDROMAT INC,40.72047503,-73.99870849,Lower Manhattan
NEW ABSOLUTE LAUNDROMAT III INC.,40.74552462,-73.97969263,Lower Manhattan
NEW SPRING CLEANERS INC.,40.73845038,-74.00387196,Lower Manhattan
"YANGTZE RIVER LAUNDROMAT, INC.",40.72121156,-73.97952326,Lower Manhattan
NEW LE FENG LAUNDRY INC.,40.7166514,-73.99335886,Lower Manhattan
J.J. CLEANERS & LAUNDROMAT CORP.,40.72636466,-73.98797494,Lower Manhattan
J.J. CLEANERS & LAUNDROMAT CORP.,40.72635093,-73.98794247,Lower Manhattan
COSMO'S LAUNDERAMA INC,40.72791236,-73.98504499,Lower Manhattan
E-WASH INC.,40.73139915,-74.00218654,Lower Manhattan
LAUNDRY QUEEN III INC.,40.71373593,-73.98708624,Lower Manhattan
"DANG, LONG GIANG",40.72090036,-73.99485198,Lower Manhattan
ORCHARD CLEANER & LAUNDROMAT INC.,40.71558631,-73.99152286,Lower Manhattan
HESTER ST. LAUNDROMAT INC.,40.71794983,-73.99730886,Lower Manhattan
"GM HOPE, INC.",40.73796997,-74.00562927,Lower Manhattan
