name,bikes,latitude,longitude
E 2 St & Avenue B,17,40.72217444,-73.98368779
Canal St & Rutgers St,0,40.71427487,-73.98990025
Christopher St & Greenwich St,20,40.73291553,-74.00711384
E 7 St & Avenue A,16,40.72621788,-73.98379855
St Marks Pl & 1 Ave,36,40.72779126,-73.98564945
E 20 St & FDR Drive,7,40.73314259,-73.97573881
1 Ave & E 16 St,28,40.73221853,-73.98165557
Franklin St & W Broadway,17,40.71911552,-74.00666661
Barrow St & Hudson St,19,40.73172428,-74.00674436
MacDougal St & Prince St,26,40.72710258,-74.00297088
Hudson St & Reade St,13,40.71625008,-74.0091059
E 2 St & Avenue C,19,40.7208736,-73.98085795
Cleveland Pl & Spring St,14,40.722103786686034,-73.99724900722504
LaGuardia Pl & W 3 St,23,40.72917025,-73.99810231
W 18 St & 6 Ave,3,40.73971301,-73.99456405
E 25 St & 1 Ave,6,40.7381765,-73.97738662
Liberty St & Broadway,1,40.70905623,-74.01043382
W 16 St & The High Line,1,40.74334935,-74.00681753
W 13 St & 7 Ave,2,40.73781509,-73.99994661
Spruce St & Nassau St,11,40.71146364,-74.00552427
Great Jones St,1,40.72743423,-73.99379025
St Marks Pl & 2 Ave,21,40.7284186,-73.98713956
E 11 St & 2 Ave,19,40.73047309,-73.98672378
Bank St & Washington St,18,40.7361967,-74.00859207
Perry St & Bleecker St,36,40.73535398,-74.00483091
Laight St & Hudson St,14,40.72185379,-74.00771779
Harrison St & Hudson St,14,40.71870987,-74.0090009
Mott St & Prince St,24,40.72317958,-73.99480012
MacDougal St & Washington Sq,22,40.73226398,-73.99852205
W 11 St & 6 Ave,7,40.73532427,-73.99800419
Lispenard St & Broadway,9,40.71939226,-74.00247214
South St & Whitehall St,7,40.70122128,-74.01234218
Broad St & Bridge St,0,40.70365182,-74.01167797
Maiden Ln & Pearl St,11,40.70706456,-74.00731853
Avenue D & E 8 St,11,40.72368361,-73.97574813
Howard St & Centre St,1,40.71910537,-73.99973337
Duane St & Greenwich St,2,40.71748752,-74.0104554
Peck Slip & Front St,18,40.707873,-74.00167
E 10 St & 5 Ave,4,40.73331967,-73.99510132
Greenwich Ave & 8 Ave,9,40.7390169121,-74.0026376103
Broadway & E 14 St,26,40.73454567,-73.99074142
Madison St & Montgomery St,10,40.713126,-73.984844
Lafayette St & E 8 St,3,40.73020660529954,-73.99102628231049
Pike St & E Broadway,14,40.71406667,-73.99293911
Division St & Bowery,27,40.71413089,-73.9970468
E 15 St & 3 Ave,19,40.734232,-73.986923
Avenue D & E 3 St,10,40.72082834,-73.97793172
Mercer St & Spring St,35,40.72362738,-73.99949601
Broadway & Battery Pl,16,40.70463334,-74.01361706
St James Pl & Oliver St,6,40.71307916,-73.99851193
Murray St & West St,2,40.7149787,-74.013012
Norfolk St & Broome St,7,40.7172274,-73.98802084
South St & Gouverneur Ln,26,40.70355377,-74.00670227
Fulton St & William St,8,40.70955958,-74.00653609
E 6 St & Avenue B,33,40.72453734,-73.98185424
Fulton St & Broadway,16,40.711066,-74.009447
Leonard St & Church St,8,40.717571,-74.005549
E 19 St & 3 Ave,27,40.73624527,-73.98473765
E 11 St & 1 Ave,29,40.72953837,-73.98426726
Vesey Pl & River Terrace,21,40.7153379,-74.01658354
Watts St & Greenwich St,18,40.72405549,-74.00965965
Reade St & Broadway,23,40.71450451,-74.00562789
Pike St & Monroe St,18,40.71173107,-73.99193043
Cherry St,18,40.71219906,-73.97948148
W 20 St & 7 Ave,14,40.74238787,-73.99726235
Washington Pl & Broadway,2,40.72903917,-73.99404649
Sullivan St & Washington Sq,33,40.73047747,-73.99906065
Old Slip & Front St,24,40.7037992,-74.00838676
Avenue D & E 12 St,16,40.72580614,-73.97422494
Madison St & Clinton St,18,40.71269042,-73.98776323
Stanton St & Mangin St,9,40.71782143,-73.97628939
Columbia St & Rivington St,23,40.71739973,-73.98016555
Bank St & Hudson St,21,40.73652889,-74.00618026
Greenwich St & W Houston St,30,40.728846,-74.008591
Rivington St & Ridge St,29,40.71850211,-73.98329859
Clinton St & Grand St,18,40.71559509,-73.9870295
Front St & Maiden Ln,7,40.70530954,-74.00612572
Bayard St & Baxter St,6,40.71602118,-73.99974372
Bialystoker Pl & Delancey St,21,40.71622644,-73.98261206
E 11 St & Broadway,0,40.73261787,-73.99158043
William St & Pine St,20,40.70717936,-74.00887308
Allen St & Hester St,22,40.71605866,-73.99190759
West Thames St,33,40.70834698,-74.01713445
Carmine St & 6 Ave,36,40.73038599,-74.00214988
Washington Pl & 6 Ave,11,40.73224119,-74.00026394
John St & William St,13,40.70862144,-74.00722156
6 Ave & Canal St,22,40.72243797,-74.00566443
W 31 St & 7 Ave,36,40.749156,-73.9916
W 4 St & 7 Ave S,32,40.73401143,-74.00293877
University Pl & E 14 St,8,40.73492695,-73.99200509
Greenwich Ave & Charles St,20,40.735238,-74.000271
Centre St & Worth St,27,40.71494807,-74.00234482
Centre St & Chambers St,15,40.71273266,-74.0046073
W 26 St & 10 Ave,16,40.749717753,-74.002950346
E 5 St & Avenue C,8,40.72299208,-73.97995466
E 9 St & Avenue C,26,40.72521311,-73.97768752
Pitt St & Stanton St,8,40.71926081,-73.98178024
Broadway & E 22 St,14,40.7403432,-73.98955109
E 2 St & 2 Ave,14,40.72502876,-73.99069656
Washington St & Gansevoort St,24,40.739323,-74.008119
Market St & Cherry St,21,40.71076228,-73.99400398
Suffolk St & Stanton St,17,40.72066442,-73.98517977
E 6 St & Avenue D,15,40.72228087,-73.97668709
Forsyth St & Canal St,11,40.7158155,-73.99422366
Pearl St & Hanover Square,15,40.7047177,-74.00926027
Barclay St & Church St,22,40.71291224,-74.01020234
West St & Chambers St,4,40.71754834,-74.01322069
Bus Slip & State St,7,40.701907,-74.013942
W 21 St & 6 Ave,5,40.74173969,-73.99415556
E 4 St & 2 Ave,27,40.7262807,-73.98978041
W 27 St & 7 Ave,2,40.746647,-73.993915
E 10 St & Avenue A,41,40.72740794,-73.98142006
W 24 St & 7 Ave,0,40.74487634,-73.99529885
W 22 St & 8 Ave,39,40.74475148,-73.99915362
11 Ave & W 27 St,0,40.751396,-74.005226
W 20 St & 11 Ave,5,40.746745,-74.007756
