name,bikes,latitude,longitude
E 47 St & 2 Ave,22,40.75323098,-73.97032517
E 39 St & 3 Ave,22,40.7489006,-73.97604882
Broadway & W 36 St,0,40.75097711,-73.98765428
Broadway & W 37 St,3,40.75172632,-73.98753523
E 55 St & 2 Ave,15,40.75797322,-73.96603308
W 59 St & 10 Ave,19,40.770513,-73.988038
E 45 St & 3 Ave,2,40.75255434,-73.97282625
E 52 St & 2 Ave,23,40.756014,-73.967416
E 51 St & 1 Ave,9,40.75455731,-73.96592976
1 Ave & E 44 St,14,40.75001986,-73.96905301
Broadway & W 32 St,0,40.74854862,-73.98808416
FDR Drive & E 35 St,64,40.744219,-73.97121214
E 47 St & 1 Ave,15,40.75206862,-73.96784384
Pershing Square South,4,40.751581,-73.97791
E 39 St & 2 Ave,25,40.74780373,-73.9734419
Pershing Square North,63,40.751873,-73.977706
W 38 St & 8 Ave,34,40.75466591,-73.99138152
Broadway & W 38 St,3,40.75299641,-73.98721619
E 43 St & 2 Ave,1,40.75022392,-73.97121414
E 58 St & 1 Ave (NE Corner),9,40.75892386377695,-73.96226227283478
E 53 St & 3 Ave,16,40.75763227739443,-73.96930575370789
E 58 St &  1 Ave (NW Corner),10,40.759125,-73.962658
Lexington Ave & E 36 St,9,40.747573958954796,-73.9788007736206
