name,bikes,latitude,longitude
Berry St & N 8 St,13,40.7190095,-73.95852515
W 52 St & 11 Ave,4,40.76727216,-73.99392888
St James Pl & Pearl St,24,40.71117416,-74.00016545
Broadway & W 49 St,21,40.76068327096592,-73.9845272898674
Old Fulton St,6,40.70277159,-73.99383605
Stanton St & Chrystie St,21,40.72229346,-73.99147535
Grand Army Plaza & Central Park S,45,40.7643971,-73.97371465
3 Ave & Schermerhorn St,8,40.68683208,-73.9796772
Allen St & Stanton St,7,40.722055,-73.989111
Cadman Plaza E & Red Cross Pl,11,40.69991755,-73.98971773
Lawrence St & Willoughby St,8,40.69236178,-73.98631746
E 47 St & Park Ave,57,40.75510267,-73.97498696
Duffield St & Willoughby St,16,40.69221589,-73.9842844
Jay St & Tech Pl,12,40.695065,-73.987167
Allen St & Rivington St,20,40.72019576,-73.98997825
W 54 St & 9 Ave,17,40.76584941,-73.98690506
8 Ave & W 52 St,20,40.76370739,-73.9851615
W 37 St & 10 Ave,6,40.75660359,-73.9979009
W 49 St & 8 Ave,6,40.76227205,-73.98788205
E 53 St & Madison Ave,0,40.7597108,-73.97402311
Broadway & W 56 St,31,40.7652654,-73.98192338
Broadway & W 53 St,0,40.76344058,-73.98268129
Rivington St & Chrystie St,16,40.72110063,-73.9919254
11 Ave & W 41 St,23,40.76030096,-73.99884222
9 Ave & W 45 St,21,40.76019252,-73.9912551
W 53 St & 10 Ave,12,40.76669671,-73.99061728
W 44 St & 5 Ave,23,40.75500254,-73.98014437
W 45 St & 6 Ave,0,40.7568001,-73.98291153
W 47 St & 10 Ave,15,40.76269882,-73.99301222
Broadway & W 51 St,7,40.76228826,-73.98336183
W 46 St & 11 Ave,7,40.76341379,-73.99667444
W 56 St & 10 Ave,4,40.768254,-73.988639
12 Ave & W 40 St,22,40.76087502,-74.00277668
W 43 St & 10 Ave,23,40.76009437,-73.99461843
W 52 St & 5 Ave,4,40.75992262,-73.97648516
E 51 St & Lexington Ave,18,40.75714758,-73.97207836
W 43 St & 6 Ave,17,40.75527307,-73.98316936
W 34 St & 11 Ave,24,40.75594159,-74.0021163
W 42 St & 8 Ave,39,40.7575699,-73.99098507
11 Ave & W 59 St,18,40.77149671054441,-73.99046033620834
Forsyth St & Broome St,8,40.71893904,-73.99266288
Metropolitan Ave & Bedford Ave,21,40.71534825,-73.96024116
Wythe Ave & Metropolitan Ave,10,40.716887,-73.963198
Railroad Ave & Kay Ave,6,40.70531194,-73.97100056
Catherine St & Monroe St,30,40.71117444,-73.99682619
W 45 St & 8 Ave,28,40.75929124,-73.98859651
E 55 St & Lexington Ave,6,40.75968085,-73.97031366
Kent Ave & N 7 St,22,40.72036775298455,-73.96165072917938
Humboldt St & Varet St,8,40.7031724,-73.940636
McKibbin St & Manhattan Ave,8,40.70510918,-73.94407279
Boerum St & Broadway,7,40.70538077,-73.94976519
Leonard St & Boerum St,7,40.70583339,-73.94644578
Montrose Ave & Bushwick Ave,8,40.70767788,-73.94016171
Scholes St & Manhattan Ave,6,40.70870368,-73.9448625
Stagg St & Union Ave,8,40.70877084,-73.95095259
S 4 St & Rodney St,1,40.70934,-73.95608
Graham Ave & Grand St,21,40.711863,-73.944024
Hope St & Union Ave,6,40.71167351,-73.95141312
Bushwick Ave & Powers St,5,40.71247661,-73.94100005
Roebling St & N 4 St,21,40.71469,-73.95739
Graham Ave & Conselyea St,1,40.715143,-73.944507
Metropolitan Ave & Meeker Ave,1,40.71413311,-73.95234386
Union Ave & Jackson St,6,40.7160751,-73.952029
N 6 St & Bedford Ave,0,40.71745169,-73.95850939
Graham Ave & Withers St,16,40.7169811,-73.94485918
Graham Ave & Herbert St,7,40.71929301,-73.94500379
N 12 St & Bedford Ave,5,40.72079821,-73.95484712
21 St & Queens Plaza North,14,40.75325964,-73.94335788
E 59 St & Madison Ave,0,40.76350532,-73.97109243
Bond St & Fulton St,20,40.68962188790333,-73.98304268717766
E 48 St & 5 Ave,26,40.75724567911726,-73.97805914282799
W 42 St & Dyer Ave,33,40.75898481399634,-73.99379968643188
E 88 St & Park Ave,6,40.781410700190015,-73.95595908164978
E 91 St & Park Ave,0,40.7835016,-73.955327
E 98 St & Park Ave,0,40.78813,-73.95206
Prospect Park West & 8 St,6,40.66514681533792,-73.97637605667114
E 97 St & 3 Ave,9,40.7859201,-73.94860294
3 Ave & E 100 St,3,40.7877214,-73.94728331
E 97 St & Madison Ave,4,40.787801,-73.953559
2 Ave & E 99 St,24,40.7862586,-73.94552579
Madison Ave & E 99 St,0,40.78948541553215,-73.95242929458618
E 102 St & 1 Ave,23,40.7869946,-73.94164802
3 St & Prospect Park West,6,40.668132,-73.97363831
E 102 St & Park Ave,25,40.7904828,-73.95033068
5 Ave & E 103 St,24,40.7922553,-73.95249933
E 103 St & Lexington Ave,27,40.7903051,-73.94755757
E 106 St & Madison Ave,13,40.7934337,-73.94945003
E 109 St & 3 Ave,13,40.79329668,-73.9432083
E 106 St & 1 Ave,24,40.7892529,-73.93956237
E 110 St & Madison Ave,11,40.7961535,-73.94782145
West Drive & Prospect Park West,21,40.6610633719006,-73.97945255041122
E 106 St & Lexington Ave,22,40.791976,-73.945993
2 Ave & E 104 St,29,40.7892105,-73.94370784
Richardson St & N Henry St,7,40.71907891179564,-73.94223690032959
Fulton St & Adams St,18,40.692418292578466,-73.98949474096298
W 52 St & 6 Ave,6,40.76132983124814,-73.97982001304626
Devoe St & Lorimer St,7,40.71335226222875,-73.9491033554077
Leonard St & Maujer St,3,40.7103685423523,-73.94705951213837
Jackson St & Leonard St,6,40.71638031973561,-73.94821286201477
E 58 St & Madison Ave,0,40.76302594280519,-73.97209525108337
W 55 St & 6 Ave,0,40.76309387270797,-73.9783501625061
Schermerhorn St & Bond St,24,40.688417427540834,-73.98451656103134
E 116 St & 2 Ave,4,40.796879,-73.937261
E 118 St & 1 Ave,15,40.79747,-73.93504
E 118 St & Park Ave,3,40.8005385,-73.9419949
E 118 St & 3 Ave,7,40.799139,-73.9389152
E 115 St & Lexington Ave,13,40.797911,-73.9423
E 114 St & 1 Ave,21,40.7945663,-73.9362541
1 Ave & E 110 St,10,40.7923272,-73.9383
Pleasant Ave & E 116 St,5,40.7949879,-73.9333349
Pleasant Ave & E 120 St,7,40.7974772,-73.9311847
2 Ave & E 122 St,1,40.8006721,-73.9349
E 115 St & Madison Ave,30,40.7989445,-73.944846
E 118 St & Madison Ave,4,40.8014866,-73.9442507
Lexington Ave & E 111 St,8,40.7954121,-73.9441232
Madison Ave & E 120 St,1,40.80295,-73.942954
E 123 St & Lexington Ave,11,40.8029263,-73.9379
Lexington Ave & E 127 St,13,40.805726,-73.936322
Lexington Ave & E 120 St,4,40.8013066,-73.9398167
Park Ave & E 124 St,16,40.8045555,-73.9396861
St Nicholas Ave & Manhattan Ave,1,40.809725,-73.953149
5 Ave & E 126 St,17,40.80698,-73.941747
Mt Morris Park W & W 120 St,9,40.804038,-73.945925
W 116 St & Broadway,1,40.8082,-73.9641
W 110 St & Amsterdam Ave,0,40.802692,-73.96295
W 116 St & Amsterdam Ave,0,40.8067581,-73.9607082
Morningside Ave & W 123 St,1,40.81,-73.9551508
Amsterdam Ave & W 125 St,2,40.813358,-73.956461
Amsterdam Ave & W 119 St,0,40.8086249,-73.9596214
Morningside Dr & Amsterdam Ave,3,40.81028506306003,-73.95736455917358
Broadway & W 122 St,0,40.8120562,-73.9612547
Broadway & Moylan Pl,4,40.8143256,-73.9590255
3 Ave & E 112 St,10,40.795508,-73.941606
W 113 St & Broadway,1,40.805973,-73.964928
Eastern Pkwy & Washington Ave,0,40.6716493,-73.9631145
E 128 St & Madison Ave,6,40.80756,-73.939182
W 120 St & Claremont Ave,1,40.8109494,-73.9634
Frederick Douglass Blvd & W 115 St,9,40.8038654,-73.9559308
W 129 St & Convent Ave,3,40.814394437915816,-73.95324736833572
E 43 St & 5 Ave,21,40.754120810779256,-73.98025184869766
N 11 St & Kent Ave,12,40.72248188638219,-73.95921930670738
W 50 St & 9 Ave,3,40.763604677958625,-73.98917958140373
Lexington Ave & E 26 St,10,40.741459,-73.983293
W 35 St & Dyer Ave,4,40.754691750226016,-73.99740189313889
Driggs Ave & N 9 St,18,40.71816969454208,-73.95520135760307
Cadman Plaza E & Johnson St,8,40.695317277669034,-73.99015724658966
7 Ave & Central Park South,18,40.7667405590595,-73.9790689945221
Frost St & Meeker Ave,0,40.71766197083994,-73.94880026578903
White St & Moore St,16,40.704508,-73.9351
Stagg St & Morgan Ave,9,40.710681,-73.93372
Bushwick Ave & McKibbin St,13,40.705517,-73.93936
Bushwick Ave & Stagg St,3,40.709897,-73.94008
Sharon St & Olive St,3,40.715353,-73.93856
Powers St & Olive St,3,40.71323,-73.93894
Waterbury St & Stagg St,4,40.71019,-73.93734
White St & Johnson Ave,6,40.707174,-73.93581
McKibbin St & Bogart St,19,40.706237,-73.933871
Devoe St & Morgan Ave,17,40.713811,-73.93515
