Industry,Business Name,Longitude,Latitude,Location
Garage,"PARKANLEX GARAGE COMPANY, LLC",-73.96162515,40.7727369,"(40.7727369020104, -73.96162515178469)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.95920715,40.7593829,"(40.759382903747536, -73.95920714880465)"
Garage,"919 THIRD AVENUE GARAGE COMPANY, LLC",-73.96833251,40.759136,"(40.759136001913056, -73.96833250581118)"
Garage,EASTSIDE PARKING LLC,-73.96181177,40.75580465,"(40.75580464922225, -73.9618117706841)"
Garage,EAST 72ND REALTY LLC,-73.95342975,40.76730753,"(40.76730753011028, -73.95342974946078)"
Garage,SP PLUS CORPORATION,-73.99081169,40.74561937,"(40.74561936554576, -73.99081168576616)"
Garage,MARTIN GARAGE LLC,-73.96909676,40.75349301,"(40.753493013032916, -73.9690967609295)"
Garage,EAST 102ND ST REALTY LLC,-73.94319587,40.78759753,"(40.78759752527264, -73.94319586809269)"
Garage,SCR PARKING CORP.,-73.9543742,40.77987881,"(40.779878810426034, -73.95437420287168)"
Garage,"CHARLES PARKING, LLC",-73.98114462,40.7412705,"(40.74127050417237, -73.98114461567869)"
Garage,311 WEST BROADWAY GARAGE LLC,-74.00430751,40.72172931,"(40.7217293128447, -74.00430750767096)"
Garage,HUDSON TOWER OWNERS LLC,-74.01702146,40.71023308,"(40.710233077636246, -74.01702145983843)"
Garage,"TOWNSWAY GARAGE CO., LLC",-73.98260236,40.74190477,"(40.741904771091974, -73.98260235921838)"
Garage,SKY PARKING CORP.,-74.00945482,40.71629164,"(40.71629163664359, -74.00945482122404)"
Garage,SAVOY GARAGE PARTNERS LLC,-73.95631324,40.77979722,"(40.77979721976259, -73.95631324462099)"
Garage,"SESSANTA PARKING CO., LLC",-73.98813648,40.77147736,"(40.77147735696765, -73.9881364791966)"
Garage,ALVA 47 PARKING LLC,-73.98635534,40.75994376,"(40.759943756370866, -73.9863553428057)"
Garage,100 RIVERSIDE PARKING LLC,-73.98952932,40.77623687,"(40.7762368677648, -73.9895293154859)"
Garage,PLAZA 48 PARKING LLC,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
Garage,171 EAST 84 PARTNERS LLC,-73.95579818,40.77787296,"(40.77787296318347, -73.95579818124413)"
Garage,310 EAST 48TH STREET GARAGE LLC,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
Garage,142 WEST 57TH STREET PARKING CORP.,-73.9791993,40.76515221,"(40.7651522082792, -73.97919929536859)"
Garage,EAST 29 PARKING LLC,-73.98475258,40.74443025,"(40.744430246193104, -73.98475257860477)"
Garage,8 EAST 83RD GARAGE LLC,-73.96139384,40.77938732,"(40.77938732345622, -73.96139384172834)"
Garage,MP WEST 58 LLC,-73.98519814,40.7693965,"(40.76939650442512, -73.98519813889219)"
Garage,"YORKVILLE CAR PARK, LLC",-73.95138989,40.78235883,"(40.78235883104077, -73.9513898890611)"
Garage,512-520 W. 112TH ST. GARAGE CORP.,-73.96365127,40.80455449,"(40.80455449277205, -73.96365126650205)"
Garage,"LIBERTY VIEW PARKING, LLC",-74.01664405,40.71553876,"(40.71553875732529, -74.01664404904123)"
Garage,SP PLUS CORPORATION,-73.94724658,40.77980989,"(40.77980989428275, -73.94724657990747)"
Garage,MPC PARKING LLC,-73.96471875,40.76007091,"(40.76007090957663, -73.96471874680586)"
Garage,SP PLUS CORPORATION,-73.96223132,40.80522649,"(40.80522649394652, -73.96223132312306)"
Garage,NEW YORK PARKING 56TH ST. CORP,-73.97641311,40.76312056,"(40.76312056238381, -73.97641311026375)"
Garage,SP PLUS CORPORATION,-73.98832074,40.77072257,"(40.77072257250959, -73.98832073803278)"
Garage,"IMPACT CAR PARK, LLC",-73.99841563,40.74776886,"(40.74776885959998, -73.99841563232964)"
Garage,"350 WEST 43RD CAR PARK, LLC",-73.99074493,40.75850595,"(40.75850594678067, -73.9907449349766)"
Garage,"ABM INDUSTRY GROUPS, LLC",-73.98396172,40.76157383,"(40.76157382560385, -73.98396172072285)"
Garage,CA-LI AUTOMATIC TRANSMISSION CORP.,-73.96237834,40.80074715,"(40.80074714936068, -73.96237834107102)"
Garage,NOBLE GARAGE LLC,-73.97352761,40.74801286,"(40.74801285574871, -73.973527609107)"
Garage,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",-73.94889038,40.83508938,"(40.83508937720585, -73.94889038145108)"
Garage,SP PLUS CORPORATION,-73.97515586,40.78520172,"(40.785201715449034, -73.97515585869253)"
Garage,"CHAMPION PARKING 16, LLC",-73.98915317,40.73586712,"(40.73586711990034, -73.98915316963569)"
Garage,MINETTA LANE OWNERS LLC,-74.00051596,40.73061417,"(40.73061417010677, -74.0005159595695)"
Garage,BENNETTE NY CORP,-73.93174434,40.85845442,"(40.85845442484461, -73.93174434222108)"
Garage,SP PLUS CORPORATION,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
Garage,"BOND STREET GARAGE, LLC",-73.99356354,40.72635687,"(40.726356874872856, -73.99356354496895)"
Garage,SP PLUS CORPORATION,-73.96234365,40.76630072,"(40.76630072356024, -73.96234364868319)"
Garage,EAST HARLEM 119 CORP,-73.93352217,40.79774237,"(40.79774236622654, -73.93352217328395)"
Garage,"300 EAST 74TH STREET CAR PARK, LLC",-73.95705257,40.7699631,"(40.76996310160079, -73.95705257462451)"
Garage,M H M PARKING LLC,-73.97671091,40.74767868,"(40.74767868405495, -73.9767109092079)"
Garage,85 JOHN STREET GARAGE LLC,-74.00673409,40.70836496,"(40.708364955484, -74.00673409085468)"
Garage,SP PLUS CORPORATION,-73.96652461,40.77241455,"(40.772414550411575, -73.9665246149568)"
Garage,NEW YORK PARKING 57TH ST. CORP.,-73.97010747,40.76132678,"(40.76132678168594, -73.9701074724464)"
Garage,E 74TH PARKING CORP.,-73.95633432,40.76967738,"(40.76967737867243, -73.95633432397234)"
Garage,507 WEST 28TH STREET PARKING CORP.,-74.00278632,40.75121898,"(40.751218984880204, -74.00278632161532)"
Garage,MP WEST 20 LLC,-73.99622167,40.74188681,"(40.7418868099037, -73.9962216708414)"
Garage,315 EAST 65TH PARKING LLC,-73.96042768,40.76467519,"(40.764675194289836, -73.96042768193381)"
Garage,QUIK PARK WEST 62ND ST. LLC,-73.98343894,40.77354357,"(40.77354356574465, -73.9834389353258)"
Garage,STELLMAR PARKING LLC,-73.96844056,40.76725498,"(40.76725498013537, -73.96844055824718)"
Garage,301 EAST 79 PARKING LLC,-73.95469289,40.77319276,"(40.7731927560976, -73.95469288994452)"
Garage,"LASALLE PARKING, LLC",-73.98837845,40.7296639,"(40.72966389945646, -73.98837844699989)"
Garage,MTP 57 LLC,-73.99305379,40.7710139,"(40.77101389742397, -73.99305378723928)"
Garage,"ABM INDUSTRY GROUPS, LLC",-73.96683398,40.75292422,"(40.752924221203685, -73.96683398271284)"
Garage,STELLMAR PARKING LLC,-73.96842252,40.76722753,"(40.76722752778376, -73.9684225207926)"
Garage,"CARNEGIE CAR PARK, INC.",-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
Garage,SP PLUS CORPORATION,-73.93256442,40.79481318,"(40.79481318364258, -73.9325644155404)"
Garage,SP PLUS CORPORATION,,,
Garage,ONE BEEKMAN GARAGE LLC,-73.96499702,40.75258058,"(40.75258058429668, -73.96499702064426)"
Garage,"LM CHASE PARKING, LLC.",-73.96649694,40.7556524,"(40.75565240137531, -73.96649694406797)"
