Industry,Business Name,Longitude,Latitude,Location
Laundry,JENNY YANG SUPREME LAUNDROMAT INC,-73.98153896,40.72464285,"(40.72464284637616, -73.9815389610293)"
Laundry,"LEE, ROBERT SUM & LEE, WAI HING",-73.97666698,40.72884693,"(40.72884692942944, -73.97666697841596)"
Laundry,WESTSIDE LAUNDROMAT CORP.,-73.97955229,40.77946334,"(40.77946333933613, -73.97955228967609)"
Laundry,SUN-PARK LAUNDROMAT INC.,-73.99962845,40.71500199,"(40.715001986750934, -73.99962845183465)"
Laundry,WASH SUPPLY LAUNDROMAT INC,-73.97804888,40.78351155,"(40.783511546814516, -73.97804888069093)"
Laundry,TAGS LAUNDRY INC.,-73.94587899,40.82758121,"(40.827581212223215, -73.94587898666991)"
Laundry,FORTUNE 777 INC,-73.93831354,40.80317136,"(40.80317135606646, -73.93831354415155)"
Laundry,DELANCEY LAUNDROMAT INC,-73.99338738,40.72011254,"(40.72011254060361, -73.99338737853634)"
Laundry,"135TH STREET LAUNDRY CENTER, LLC",-73.9418687,40.81454459,"(40.81454459375653, -73.94186869780427)"
Laundry,WINGS AT BROOME LAUNDROMAT INC.,-73.99212491,40.71869068,"(40.71869067582821, -73.99212490741853)"
Laundry,DARYA #2 LAUNDROMAT CORP.,-73.93750607,40.85530677,"(40.85530677228036, -73.93750606704097)"
Laundry,"S & J 21, LLC",-73.96325354,40.79872731,"(40.798727312382134, -73.96325353845577)"
Laundry,WEST 57 CLEANERS CORP.,-73.98444408,40.76736804,"(40.767368041971814, -73.98444407879822)"
Laundry,"NY YOUME CLEANERS, INC.",-73.95300253,40.77927991,"(40.7792799067128, -73.95300252962085)"
Laundry,DEREK'S LAUNDROMAT INC,-73.952525,40.80081213,"(40.80081213058258, -73.95252500223742)"
Laundry,CLEAN ACT INC.,-73.9385813,40.84572833,"(40.84572833083372, -73.93858129999771)"
Laundry,NY GARMENT CARE CORP,-73.97996294,40.73470211,"(40.7347021121039, -73.97996294202304)"
