name,bikes,latitude,longitude
W 95 St & Broadway,13,40.7937704,-73.971888
Broadway & W 60 St,10,40.76915505,-73.98191841
E 60 St & York Ave,4,40.759107,-73.959223
E 68 St & 3 Ave,0,40.76712840349542,-73.96224617958069
3 Ave & E 62 St,8,40.76312584,-73.96526895
E 75 St & 3 Ave,8,40.77112927,-73.95772297
E 72 St & Park Ave,1,40.77118287540658,-73.96409422159195
1 Ave & E 78 St,34,40.77140426,-73.9535166
1 Ave & E 68 St,4,40.76500525,-73.95818491
1 Ave & E 62 St,15,40.7612274,-73.96094022
E 81 St & Park Ave,4,40.77677702,-73.9590097
E 84 St & Park Ave,8,40.77862688,-73.95772073
E 81 St & 3 Ave,4,40.77573034,-73.9567526
E 84 St & 1 Ave,5,40.77565541,-73.95068615
E 85 St & York Ave,6,40.77536905,-73.94803392
E 81 St & York Ave,10,40.7728384,-73.94989233
3 Ave & E 71 St,0,40.76873687,-73.96119945
E 77 St & 3 Ave,7,40.77314236,-73.95856158
Lexington Ave & E 63 St,6,40.76440023,-73.96648977
E 72 St & York Ave,26,40.76663814,-73.95348296
East End Ave & E 86 St,6,40.77518615,-73.94446054
W 63 St & Broadway,9,40.77163851,-73.98261428
W 67 St & Broadway,8,40.77492513,-73.98266566
W 76 St & Columbus Ave,18,40.7801839724239,-73.97728532552719
W 78 St & Broadway,6,40.78339981,-73.98093133
Columbus Ave & W 72 St,27,40.7770575,-73.97898475
Riverside Dr & W 72 St,14,40.78057799010334,-73.98562431335449
Amsterdam Ave & W 73 St,11,40.77966809007312,-73.98093044757842
Riverside Dr & W 82 St,6,40.78720869,-73.98128127
W 84 St & Columbus Ave,1,40.78499979,-73.97283406
Amsterdam Ave & W 82 St,14,40.78524672,-73.97667321
W 74 St & Columbus Ave,6,40.7785669,-73.97754961
Riverside Blvd & W 67 St,22,40.777507027547976,-73.98888587951659
W 70 St & Amsterdam Ave,13,40.77748046,-73.98288594
W 84 St & Broadway,16,40.7867947,-73.977112
Riverside Dr & W 78 St,8,40.78414472,-73.98362492
W 82 St & Central Park West,10,40.78275,-73.97137
E 67 St & Park Ave,3,40.76780080148132,-73.96592080593109
W 89 St & Columbus Ave,6,40.7882213,-73.97041561
W 87 St & Amsterdam Ave,6,40.78839,-73.9747
E 89 St & 3 Ave,9,40.7806284,-73.9521667
E 88 St & 1 Ave,29,40.778301,-73.9488134
W 90 St & Amsterdam Ave,3,40.79017948095081,-73.97288918495178
E 89 St & York Ave,6,40.7779453,-73.946041
W 92 St & Broadway,0,40.7921,-73.9739
E 93 St & 2 Ave,42,40.782454175279874,-73.9489196240902
Columbus Ave & W 95 St,15,40.7919557,-73.968087
Columbus Ave & W 103 St,4,40.7969347,-73.9643412291
E 91 St & 2 Ave,22,40.78112229934166,-73.94965589046478
West End Ave & W 94 St,5,40.7941654,-73.974124
1 Ave & E 94 St,36,40.7817212,-73.94594
2 Ave & E 96 St,30,40.7839636,-73.9471673
W 106 St & Central Park West,31,40.7981856,-73.9605909006
W 100 St & Manhattan Ave,24,40.795,-73.9645
Riverside Dr & W 104 St,0,40.8013434,-73.9711457439
W 107 St & Columbus Ave,3,40.7997568,-73.9621128676
W 100 St & Broadway,14,40.7973721,-73.97041192
E 66 St & Madison Ave,1,40.76800889305947,-73.96845281124115
Amsterdam Ave & W 66 St,3,40.7746671,-73.98470567
W 106 St & Amsterdam Ave,4,40.8008363,-73.9664492472
E 68 St & Madison Ave,1,40.7691572,-73.96703464
Amsterdam Ave & W 79 St,15,40.7829391,-73.9786517
Madison Ave & E 82 St,5,40.7781314,-73.96069399
West End Ave & W 107 St,4,40.8021174,-73.9681805305
E 82 St & East End Ave,13,40.7724607,-73.9468208
E 78 St & 2 Ave,9,40.7727966,-73.95577801
E 74 St & 1 Ave,15,40.7689738,-73.95482273
3 Ave & E 72 St,1,40.7699426,-73.96060712
E 65 St & 2 Ave,10,40.76471851944339,-73.96222069859505
E 76 St & Park Ave,2,40.773763,-73.96222088
Cathedral Pkwy & Broadway,4,40.804213,-73.96699104
W 88 St & West End Ave,9,40.79025417330419,-73.97718340158461
Riverside Dr & W 91 St,1,40.79313480986663,-73.97700369358063
Lenox Ave & W 115 St,15,40.8011939,-73.9500739
Adam Clayton Powell Blvd & W 123 St,6,40.8078316,-73.949373
Adam Clayton Powell Blvd & W 115 St,10,40.802535,-73.9532423
Lenox Ave & W 126 St,32,40.808442,-73.9452087
Adam Clayton Powell Blvd & W 118 St,14,40.804372,-73.951475
Lenox Ave & W 111 St,1,40.7987859,-73.9523
Lenox Ave & W 130 St,11,40.8107922,-73.9430681
Frederick Douglass Blvd & W 129 St,24,40.8125511,-73.9492286
St. Nicholas Ave & W 126 St,24,40.8114323,-73.9518776
Frederick Douglass Blvd & W 117 St,22,40.805159,-73.954692
Frederick Douglass Blvd & W 112 St,9,40.801694,-73.957145
Lenox Ave & W 117 St,9,40.8025566,-73.9490782
Adam Clayton Powell Blvd & W 126 St,22,40.809495347779475,-73.94776493310928
E 81 St & 2 Ave,3,40.774779448957275,-73.95427465438843
3 Ave & E 95 St,4,40.784596798848916,-73.94968539476395
W 104 St & Amsterdam Ave,5,40.799041392882984,-73.96649479866028
W 64 St & Thelonious Monk Circle,19,40.77515953434235,-73.98918695747852
2 Ave & E 72 St,1,40.7687620293096,-73.95840793848038
E 84 St & 3 Ave,5,40.77755374298887,-73.95512759685516
